CVE_ENT,CVE_MUN,CVE_LOC,AGEB,MANZANA
09,015,0001,0714,003
09,015,0001,1017,007
09,015,0001,0856,016
09,015,0001,0663,008
09,010,0001,0968,013
09,015,0001,0610,010
09,014,0001,0933,008
09,015,0001,070A,013
09,015,0001,0752,003
09,015,0001,0945,010
09,015,0001,0911,011
09,015,0001,0964,004
09,015,0001,1407,008
09,012,0001,0464,003
09,015,0001,0644,009
09,015,0001,1534,008
09,004,0001,0299,006
09,014,0001,0064,004
09,002,0001,0788,002
09,003,0001,1675,022
09,004,0001,0299,007
09,003,0001,0037,019
09,003,0001,1444,026
09,002,0001,0788,009
09,002,0001,0468,024
09,003,0001,0075,019
09,002,0001,0788,008
09,003,0001,0677,008
09,006,0001,0293,012
09,003,0001,0060,015
09,004,0001,0138,009
09,003,0001,0145,015
09,003,0001,054A,022
09,005,0001,2875,021
09,002,0001,067A,016
09,006,0001,0128,003
09,006,0001,0132,017
09,006,0001,0293,011
09,006,0001,0128,011
09,015,0001,0860,014
09,007,0001,0746,001
09,016,0001,0660,010
09,015,0001,0589,002
09,003,0001,1444,026
09,015,0001,0964,003
09,015,0001,0606,005
09,015,0001,0875,005
09,016,0001,036A,003
09,016,0001,0482,004
09,017,0001,0579,005
09,016,0001,0571,001
09,016,0001,0497,003
09,009,0001,0327,024
09,015,0001,0663,009
09,016,0001,0459,010
09,015,0001,0983,006
09,015,0001,0911,011
09,007,0001,3026,004
09,015,0001,0983,005
09,003,0001,0234,003
09,016,0001,0482,011
09,017,0001,0691,011
09,015,0001,0860,011
09,015,0001,0818,001
09,002,0001,0699,001
09,016,0001,118A,013
09,015,0001,0663,007
09,014,0001,0702,023
09,015,0001,0875,004
09,015,0001,0521,010
09,014,0001,0276,001
09,016,0001,0393,011
09,015,0001,0748,010
09,015,0001,0606,008
09,015,0001,0748,005
09,016,0001,1029,017
09,016,0001,0891,004
09,014,0001,0204,007
09,015,0001,1093,012
09,015,0001,095A,009
09,015,0001,049A,015
09,014,0001,0736,006
09,015,0001,1106,007
09,015,0001,0663,014
09,016,0001,0891,001
09,015,0001,0521,015
09,016,0001,0849,005
09,015,0001,1017,007
09,014,0001,0628,030
09,017,0001,1149,032
09,015,0001,106A,014
09,005,0001,2875,022
09,010,0001,1006,002
09,003,0001,0130,014
09,015,0001,1089,009
09,012,0001,0445,007
09,003,0001,0145,005
09,015,0001,0536,003
09,014,0001,0806,017
09,015,0001,0540,002
09,015,0001,1089,004
09,014,0001,0651,031
09,015,0001,1303,005
09,002,0001,0311,007
09,014,0001,0238,009
09,017,0001,0367,013
09,015,0001,0998,006
09,015,0001,0644,020
09,015,0001,0644,013
09,015,0001,1125,021
09,003,0001,1529,006
09,008,0001,018A,002
09,015,0001,0625,006
09,017,0001,0920,002
09,015,0001,056A,009
09,015,0001,145A,024
09,012,0001,0445,007
09,016,0001,0603,003
