ID,TIPO,INST,CALLE,NUMERO,REF,COLONIA,CP,OBS,ALCALDIA,OID
434,TIENDAS DE AUTOSERVICIO,"BODEGA COMERCIAL MEXICANA, S.A. DE C.V.",Plazuela de la Fama,1,Entre Ayuntamiento y Sor Juana Inés de la Cruz,Barrio Camisetas,14410,Desconocido,Tlalpan,434
435,TIENDAS DEPARTAMENTALES,SEARS,Calz. del Hueso,519,Entre Canal de Miramontes y Tenorio,Residencial de Miramontes,14300,Desconocido,Tlalpan,435
436,CENTRO Y PLAZA COMERCIAL,PLAZA PABELLON ESMERALDA,CALZADA DEL HUESO,921,Desconocido,GRANJAS COAPA,14330,Desconocido,Tlalpan,436
437,CENTRO Y PLAZA COMERCIAL,PLAZA CUEMANCO,HACIENDA DE LA HUERTA,130,Desconocido,HACIENDA DE LA HUERTA,14330,Desconocido,Tlalpan,437
438,CENTRO Y PLAZA COMERCIAL,PLAZA CRISTAL COAPA,3 ORIENTE (AVENIDA CAFETALES),265,Desconocido,GRANJAS COAPA,14330,Desconocido,Tlalpan,438
439,CENTRO Y PLAZA COMERCIAL,PLAZA LA GUIA,ALFALFARES,10,Desconocido,GRANJAS COAPA,14390,Desconocido,Tlalpan,439
440,CENTRO Y PLAZA COMERCIAL,PLAZA PUNTA COAPA,CALZADA DE LOS TENORIOS,274,Desconocido,GRANJAS COAPA,14390,Desconocido,Tlalpan,440
441,CENTRO Y PLAZA COMERCIAL,PLAZA CA AVERALES,CALAVERALES,191,Desconocido,GRANJAS COAPA,14390,Desconocido,Tlalpan,441
442,CENTRO Y PLAZA COMERCIAL,PLAZA GARITA,LA GARITA,181,Desconocido,RESDENCIAL VILLA COAPA,14390,Desconocido,Tlalpan,442
443,CENTRO Y PLAZA COMERCIAL,Plaza cafetales,NULLCAFETALES,1905,Desconocido,GRANJAS COAPA,14325,Desconocido,Tlalpan,443
444,CENTRO Y PLAZA COMERCIAL,PLAZA DIAMANTE,CALZADA DEL HUESO,731,Desconocido,FRACC RES HACIENDA COAPA,14330,Desconocido,Tlalpan,444
445,CENTRO Y PLAZA COMERCIAL,PLAZA COMERCIAL MARKET PLACE,CALZADA DE LOS TENORIOS,4541,Desconocido,EJIDOS DE HUIPULCO,14380,Desconocido,Tlalpan,445
446,CENTRO Y PLAZA COMERCIAL,Coaplaza,2 ORIENTE,3280,Desconocido,Villacoapa,14390,Desconocido,Tlalpan,446
447,CENTRO Y PLAZA COMERCIAL,PLAZA SAVONA,CALLE 2 ORIENTE,3268,Desconocido,ACOXPA,14400,Desconocido,Tlalpan,447
448,CENTRO Y PLAZA COMERCIAL,PLAZA LAS HADAS,CALZADA LAS BRUJAS,303,Desconocido,LAS HADAS,14390,Desconocido,Tlalpan,448
449,CENTRO Y PLAZA COMERCIAL,Plaza,CALZADA LAS BRUJAS,339,Desconocido,LAS HADAS,14390,Desconocido,Tlalpan,449
450,CENTRO Y PLAZA COMERCIAL,ALIMENTOS LA PALOMA,CALZADA DE LOS TENORIOS,20,Desconocido,GABRIEL RAMOS MILLAN,14326,Desconocido,Tlalpan,450
451,CENTRO Y PLAZA COMERCIAL,PLAZA FLORESTA,HACIENDA DE PASTEJE,4158,Desconocido,FLORESTA COYOACAN,14310,Desconocido,Tlalpan,451
452,CENTRO Y PLAZA COMERCIAL,PLAZA LA HACIENDA,DIVISION DEL NORTE,4344,Desconocido,ORIENTAL COAPA,14300,Desconocido,Tlalpan,452
453,TIENDAS DEPARTAMENTALES,SAM´S CLUB ACOXPA,ACOXPA,438,Desconocido,EX HACIENDA DE COAPA,14300,Desconocido,Tlalpan,453
454,CENTRO Y PLAZA COMERCIAL,PASEO ACOXPA,Acoxpa,430,Desconocido,EX HACIENDA COAPA,14370,Desconocido,Tlalpan,454
455,CENTRO Y PLAZA COMERCIAL,PLAZUELA,DIVISION DEL NORTE,4541,Desconocido,EX DE SAN JUAN DE DIOS,14380,Desconocido,Tlalpan,455
456,TIENDAS DE AUTOSERVICIO,MEGA SORIANA VILLA COAPA,DIVISION DEL NORTE,1555,Desconocido,EX DE SAN JUAN DE DIOS,14370,Desconocido,Tlalpan,456
