ID,TIPO,INST,CALLE,NUMERO,REF,COLONIA,CP,OBS,ALCALDIA,OID
551,CENTRO Y PLAZA COMERCIAL,LA MANZANA,UNIVERSIDAD,2079,Desconocido,COPILCO UNIVERSIDAD,Desconocido,Desconocido,Coyoacán,551
552,CENTRO Y PLAZA COMERCIAL,OASIS COYOACAN,MIGUEL ANGEL DE QUEVEDO,1778,Desconocido,OXTOPULCO,4318,Desconocido,Coyoacán,552
553,CENTRO Y PLAZA COMERCIAL,PLAZA COMERCIAL LA ESTACION,MIGUEL ANGEL DE QUEVEDO,279,Desconocido,OXTOPULCO,4318,Desconocido,Coyoacán,553
554,CENTRO Y PLAZA COMERCIAL,PLAZA MAQ,MIGUEL ANGEL DE QUEVEDO,310,Desconocido,SANTA CATARINA,4010,Desconocido,Coyoacán,554
555,CENTRO Y PLAZA COMERCIAL,PLAZA SANTA CATARINA,MIGUEL ANGEL DE QUEVEDO,486,Desconocido,SANTA CATARINA,4010,Desconocido,Coyoacán,555
556,CENTRO Y PLAZA COMERCIAL,MERCADO ROMA COYOACAN,MIGUEL ANGEL DE QUEVEDO,353,Desconocido,ROMERO DE TERREROS,4310,Desconocido,Coyoacán,556
557,TIENDAS DE AUTOSERVICIO,CITY MARKET,AV. SAN JERONIMO,190,Desconocido,LA OTRA BANDA,4510,Desconocido,Coyoacán,557
558,CENTRO Y PLAZA COMERCIAL,PLAZA PEDREGAL,AV. REVOLUCION,2015,Desconocido,LA OTRA BANDA,4519,Desconocido,Coyoacán,558
559,CENTRO Y PLAZA COMERCIAL,PLAZA FUTURA,AV. UNIVERSIDAD,1887,Desconocido,COPILCO UNIVERDSIDAD,4360,Desconocido,Coyoacán,559
560,CENTRO Y PLAZA COMERCIAL,WALMART EXPRESS,AV. MIGUEL ANGEL DE QUEVEDO,870,Desconocido,COYOACAN,4000,Desconocido,Coyoacán,560
561,CENTRO Y PLAZA COMERCIAL,SUMESA CENTENARIO,CENTENARIO,227,Desconocido,DEL CARMEN,4100,Desconocido,Coyoacán,561
562,TIENDAS DE AUTOSERVICIO,SUPERAMA ELITE PASSEOS DE TASQUEÑA,CALZ TAXQUEÑA,1752,Desconocido,TAXQUEÑA,4280,Desconocido,Coyoacán,562
563,CENTRO Y PLAZA COMERCIAL,PLAZA LA LONJA,AVENDIA CARLOTA ARMERO,60,Desconocido,SAN FRANCISCO CULHUACAN,4260,Desconocido,Coyoacán,563
564,CENTRO Y PLAZA COMERCIAL,PLAZA CANTIL-COYOACAN,AV AZTECAS,270,Desconocido,LOS REYES,4330,Desconocido,Coyoacán,564
565,CENTRO Y PLAZA COMERCIAL,MEGA SORIANA,AV. IMAN,550 151,Desconocido,PEDREGAL DE CARRASCO,4700,Desconocido,Coyoacán,565
566,TIENDAS DE AUTOSERVICIO,TU TIENDA UNAM,MARIO DE LA CUEVA,Desconocido,Desconocido,CU,Desconocido,Desconocido,Coyoacán,566
567,CENTRO Y PLAZA COMERCIAL,PLAZA SANTA LUCIA,NEZAHUALCOYOTL,19,Desconocido,AJUSCO,4300,Desconocido,Coyoacán,567
568,CENTRO Y PLAZA COMERCIAL,Super Plaza La Viga,Eje 2 Oriente Calz. de la Viga,1150,Desconocido,Apatlaco,9430,Desconocido,Iztapalapa,568
569,CENTRO Y PLAZA COMERCIAL,Plaza Cumbres La Viga,Jesus,43,Desconocido,El Triunfo,9430,Desconocido,Iztapalapa,569
570,CENTRO Y PLAZA COMERCIAL,Mercado San Andrés Tepilco,s/c,s/n,Desconocido,San Andres Tetepilco,9440,Desconocido,Iztapalapa,570
571,TIENDAS DE AUTOSERVICIO,"COMERCIAL MEXICANA, S.A. DE C.V.",Calz. de la Viga,1381,Esq. Eje 6,El Retoño,9440,Actualmente es Soriana,Iztapalapa,571
572,TIENDAS DE AUTOSERVICIO,Soriana,Retoño,890,Desconocido,El Retoño,9440,Desconocido,Iztapalapa,572
573,TIENDAS DE AUTOSERVICIO,Soriana,Calz. de la Viga eje 2 oriente,1345,Desconocido,El Retoño,9440,Desconocido,Iztapalapa,573
574,TIENDAS DE AUTOSERVICIO,Soriana,Retoño,900,Desconocido,El Retoño,9440,Desconocido,Iztapalapa,574
575,CENTRO Y PLAZA COMERCIAL,Portal Churubusco,Circuito interior Ave. Rio Churubusco,583,Desconocido,Sector Popular,9060,Desconocido,Iztapalapa,575
576,CENTRO Y PLAZA COMERCIAL,Plaza Cascada,Municipio Libre,83,Desconocido,Banjidal,9450,Desconocido,Iztapalapa,576
577,CENTRO Y PLAZA COMERCIAL,Mercado Escuadrón 201,Rodolfo Usigli,s/n,Desconocido,Escuadrón 201,9060,Desconocido,Iztapalapa,577
578,TIENDAS DEPARTAMENTALES,"SANBORNS HERMANOS, S.A DE C.V.",Ermita,1897,Esq. Av. Plutarco Elías Calles,Benjidal,9450,Actualmente hay una PEMEX y Farmacia Sn Pablo,Iztapalapa,578
579,CENTRO Y PLAZA COMERCIAL,Plaza Monarca,Auriga,8,Desconocido,El Prado,9480,Desconocido,Iztapalapa,579
580,TIENDAS DE AUTOSERVICIO,"GIGANTE, S.A. DE C.V.",Calz. la Viga,1801,Esq. Ermita Iztapalapa,Unidad Modelo,9080,Actualmente es un Soriana,Iztapalapa,580
581,CENTRO Y PLAZA COMERCIAL,Plaza El Pueblito,Avena,13,Desconocido,Mexicaltzingo,9099,Desconocido,Iztapalapa,581
582,TIENDAS DEPARTAMENTALES,K-2,Ermita Iztapalapa,629,Entre Maíz y Trigo,Granjas Esmeralda,9810,Actualmente parece una bodega,Iztapalapa,582
583,TIENDAS DEPARTAMENTALES,"SUBURBIA, S.A. DE C.V.",Av. Canal de Tezontle,1520,Casi Esq. con Rojo Gómez,Dr. Alfonso Ortiz Tirado,9020,Es parte de Parque Tezontle,Iztapalapa,583
584,CENTRO COMERCIAL,PARQUE TEZONTLE,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido,Iztapalapa,584
585,TIENDAS DE AUTOSERVICIO,"WALL MART DE MÉXICO,S.A DE C.V.",Av. Canal de Tezontle,1520,Casi Esq. con Rojo Gómez,Dr. Alfonso Ortiz Tirado,9020,Es parte de Plaza Oriente,Iztapalapa,585
586,TIENDAS DE AUTOSERVICIO,SAMS CLUB,Av. Canal de Tezontle,1520,Casi Esq. con Rojo Gómez,Dr. Alfonso Ortiz Tirado,9020,Es parte de Plaza Oriente,Iztapalapa,586
587,TIENDAS DE AUTOSERVICIO,MEGA COMERCIAL MEXICANA S.A DE C.V.,Javier Rojo Gómez,600,Entre Tezontle y Río Frío,Cuchilla del Moral,9319,Actualmente Soriana,Iztapalapa,587
588,TIENDAS DE AUTOSERVICIO,HOME  MART,Canal de Sn. Juan,2141,Esq. Av. Tezontle,Unidad Habitacional Juárez,9219,Actualmente Bodega Aurrera,Iztapalapa,588
589,CENTRO Y PLAZA COMERCIAL,Zentralia Churubusco,Ave. Rio Churubusco,1072,Desconocido,Los Picos VI-B,9420,Hay una TIENDA DE AUTOSERVICIO Chedraui,Iztapalapa,589
590,CENTRO Y PLAZA COMERCIAL,Plaza Central,Av. Río Churubusco,s/n,Desconocido,Central de Abasto,9040,Desconocido,Iztapalapa,590
591,CENTRO Y PLAZA COMERCIAL,Mercado de Jaimaica,Marcelino Buendía,s/n,Desconocido,Central de Abasto,9040,Desconocido,Iztapalapa,591
592,CENTRO Y PLAZA COMERCIAL,Central de Abasto CDMX,Av. Río Churubusco,s/n,Desconocido,Central de Abasto,9040,Central de Abasto CDMX,Iztapalapa,592
593,TIENDAS DEPARTAMENTALES,SALINAS Y ROCHA,Calz. Ermita Iztapalapa,835,Esq. Av. Toltecas,Barrio Sta. Barbara,9000,Actualmente es una Nissan,Iztapalapa,593
594,CENTRO Y PLAZA COMERCIAL,Mercado Iztapalapa,Ayuntamiento,s/n,Desconocido,San Pablo,9000,Desconocido,Iztapalapa,594
595,CENTRO Y PLAZA COMERCIAL,Plaza Ermita,Calz. Ermita Iztapalapa,1441,Desconocido,El Molino,9830,Desconocido,Iztapalapa,595
596,CENTRO Y PLAZA COMERCIAL,Plaza Ermita,Calz. Ermita Iztapalapa,655,Desconocido,Minerva,9810,Desconocido,Iztapalapa,596
597,TIENDAS DEPARTAMENTALES,VIANA,Calz. Ermita Iztapalapa,915,Esq. Tulyehualco,Industrial Sta. Isabel,9820,Actualmente es un Coppel,Iztapalapa,597
598,CENTRO Y PLAZA COMERCIAL,Plaza Aristeum,Ermita Iztapalapa,941,Desconocido,Santa Isabel Industrial,9820,Desconocido,Iztapalapa,598
599,TIENDAS DE AUTOSERVICIO,"BODEGA AURRERA,S.A. DE C.V.",Calz. Ermita Iztapalapa,875,Entre Av. Toltecas y los Reyes,Sta. Isabel Industrial,9820,Desconocido,Iztapalapa,599
600,CENTRO Y PLAZA COMERCIAL,Plaza Zaragoza,Calz. Ignacio Zaragoza,1385,Desconocido,Tepalcates,9210,Hay una TIENDA DE AUTOSERVICIO Sams Club,Iztapalapa,600
601,TIENDAS DE AUTOSERVICIO,"ALMACENES AURRERA, S.A. DE C.V.",Calz. Ignacio Zaragoza,1527,Jesús Almanza y Nicolás Bravo,Tepalcates,9210,Desconocido,Iztapalapa,601
602,TIENDAS DE AUTOSERVICIO,ISSSTETIENDAS,Av. Zaragoza,1711,Desconocido,Tepalcates,9328,Desconocido,Iztapalapa,602
603,TIENDAS DE AUTOSERVICIO,"GIGANTE, S.A. DE C.V.",Calz. Ignacio Zaragoza,1886,Entre Juan Manuel Torrea y Domingo Arellano,Juan Escutia,9100,Actualmente es un Burger King en remodelación,Iztapalapa,603
604,TIENDAS DE AUTOSERVICIO,"BODEGA COMERCIAL MEXICANA, S.A. DE C.V.",Av. Ignacio Zaragoza,1450,Casi Esq. Av. Guelatao,Juan Escutia,9100,Actualmente Soriana,Iztapalapa,604
605,CENTRO Y PLAZA COMERCIAL,Mercado Francisco Villa,s/c,s/n,Desconocido,Ejercito constitucionalista,9220,Desconocido,Iztapalapa,605
606,TIENDAS DE AUTOSERVICIO,"BODEGA AURRERA,S.A. DE C.V.",Av. Universidad,1191,Esq. Gral. Antonio de León,Ejército Constitucionalista,9220,Actualmente es Conalep Iztapalapa II,Iztapalapa,606
607,CENTRO Y PLAZA COMERCIAL,Plaza Los Arcos,Av. Tlahuac,5662,Desconocido,San Lorenzo Tezonco,9790,Desconocido,Iztapalapa,607
608,TIENDAS DE AUTOSERVICIO,"GIGANTE, S.A. DE C.V.",Ignacio Zaragoza,S/N,Esq. Amador Salazar,jidal Sta. Martha Catitla,9140,Actualmente Soriana en Plaza el Salado,Iztapalapa,608
609,TIENDAS DEPARTAMENTALES,SALINAS Y ROCHA,Calz. Ermita Iztapalapa,3901,Esq. 5 de Febrero,Pueblo Sta. Martha Acatitla,9510,Desconocido,Iztapalapa,609
610,TIENDAS DE AUTOSERVICIO,Soriana Ermita,Calz. Ermita Iztapalapa,4142,Desconocido,Santa Martha Acatitla,9510,Desconocido,Iztapalapa,610
611,TIENDAS DE AUTOSERVICIO,La Comer Iztapalapa,Calz. Ermita Iztapalapa,3799,Desconocido,Santiago Acahualtepec 1A ampliación,9608,Desconocido,Iztapalapa,611
612,TIENDAS DE AUTOSERVICIO,La Comer Iztapalapa,Calz. Ermita Iztapalapa,3799,Desconocido,Santiago Acahualtepec 1A ampliación,9608,Desconocido,Iztapalapa,612
613,TIENDAS DE AUTOSERVICIO,Bodega Aurrera,Av. Tlahuac,250,Desconocido,Santa Isabel Industrial,9820,Desconocido,Iztapalapa,613
614,TIENDAS DE AUTOSERVICIO,"COMERCIAL MEXICANA, S.A. DE C.V.",Calz. Ermita Iztapalapa,2955,Entre Mariano Matamoros y Sn. Felipe de Jesus,Sn. Miguel,9360,Actualmente CENTRO Y PLAZA COMERCIAL Iztapalapa,Iztapalapa,614
615,TIENDAS DE AUTOSERVICIO,"GIGANTE, S.A. DE C.V.",Calz. Ermita Iztapalapa,1863,Entre Av. Sn. Lorenzo y Mina,Los Ángeles,9830,Actualmente es Soriana,Iztapalapa,615
616,TIENDAS DEPARTAMENTALES,"SUBURBIA, S.A. DE C.V.",Calz. Ermita Iztapalapa,2039,Esq. Margarita,Angeles,9830,También hay una Bodega Aurrera,Iztapalapa,616
617,TIENDAS DE AUTOSERVICIO,Soriana Tláhuac,Av. Tlahuac,390,Desconocido,Culhuacan,9800,Desconocido,Iztapalapa,617
618,TIENDAS DE AUTOSERVICIO,Soriana,San Lorenzo,2171,Desconocido,San Juan Xalpa,9850,Desconocido,Iztapalapa,618
619,CENTRO Y PLAZA COMERCIAL,Mercado de Culhuacán no. 186,Iturbide,s/n,Desconocido,Culhuacán,9800,Desconocido,Iztapalapa,619
620,CENTRO Y PLAZA COMERCIAL,Mercado Puente Blanco,Río Churubusco,l-47,Desconocido,Puente Blanco,9770,Desconocido,Iztapalapa,620
621,CENTRO Y PLAZA COMERCIAL,Mercado Presidentes de México,Lázaro Cardenas,m 70 l 1C,Desconocido,Presidentes de México,9740,Desconocido,Iztapalapa,621
622,TIENDAS DE AUTOSERVICIO,"COMERCIAL MEXICANA, S.A. DE C.V.",Av. Tláhuac,4486,Entre Sn. Francisco de Asis y Av.11,Sn. Nicolás Tolentino,9880,Actualmente es una tienda de azulejos,Iztapalapa,622
623,CENTRO Y PLAZA COMERCIAL,La Estrella,Av. Tlahuac,4746 lt 14,Desconocido,Granjas Estrella,9889,Desconocido,Iztapalapa,623
624,TIENDAS DE AUTOSERVICIO,Soriana Tulyehualco,Juarez,mz 39 lt 13,Desconocido,Granjas Estrella,9889,Desconocido,Iztapalapa,624
625,CENTRO Y PLAZA COMERCIAL,Portal Lomas Estrella,Av. Tlahuac,4409,Desconocido,Lomas Estrella,9890,Desconocido,Iztapalapa,625
626,TIENDAS DE AUTOSERVICIO,Bodega Aurrera,Av. Tlahuac,4421,Desconocido,Lomas Estrella,9890,Desconocido,Iztapalapa,626
627,TIENDAS DE AUTOSERVICIO,Bodega Aurrera,Avenida 11,32,Desconocido,El Vergel,9880,Desconocido,Iztapalapa,627
628,CENTRO Y PLAZA COMERCIAL,Plaza El Vergel,Av. Tlahuac,1535,Desconocido,El Vergel,9880,Desconocido,Iztapalapa,628
629,TIENDAS DE AUTOSERVICIO,"BODEGA AURRERA,S.A. DE C.V.",Av. Tláhuac,1577,Entre las Torres y Periférico,Guadalupe Barrio,9900,Desconocido,Iztapalapa,629
630,CENTRO Y PLAZA COMERCIAL,Parque Las Antenas,Calz. Canal de Garay,89,Desconocido,La Esperanza,9910,Tiene un Walmart y Liverpool,Iztapalapa,630
631,TIENDAS DE AUTOSERVICIO,Walmart,Av. Tlahuac,5662,Desconocido,San Lorenzo Tezonco,9790,Desconocido,Iztapalapa,631
632,TIENDAS DE AUTOSERVICIO,Soriana Reforma Ermita,Calz. Ermita Iztapalapa,3016,Desconocido,Reforma Política,9730,Desconocido,Iztapalapa,632
633,CENTRO Y PLAZA COMERCIAL,Plaza Ermita Iztapalapa,Calz. Ermita Iztapalapa,3417,Desconocido,Xalpa,9640,Desconocido,Iztapalapa,633
634,TIENDAS DE AUTOSERVICIO,Bodega Aurrera,Calz. Ermita Iztapalapa,3419,Desconocido,Xalpa,9640,Desconocido,Iztapalapa,634
635,TIENDAS DE AUTOSERVICIO,Bodega Aurrera,Lucio Blanco,mz 19 lt2-A,Desconocido,La Era,9720,Desconocido,Iztapalapa,635
636,TIENDAS DE AUTOSERVICIO,Chedraui,Cuauhtemoc,139,Desconocido,Sta. Cruz Meyehualco,9700,Desconocido,Iztapalapa,636
637,CENTRO Y PLAZA COMERCIAL,Forum Ermita,Calle 5,17,Desconocido,Granjas de San Antonio,9070,Desconocido,Iztapalapa,637
638,TIENDAS DE AUTOSERVICIO,Soriana,Av. del Árbol,131,Desconocido,Consejo Agrarista Mexicano,9760,Desconocido,Iztapalapa,638
639,TIENDAS DE AUTOSERVICIO,Bodega Aurrera,Villa Feliche,16,Desconocido,Carlo Hank Gonzalez,9700,Desconocido,Iztapalapa,639
640,CENTRO Y PLAZA COMERCIAL,Mercado Carlos Hank González,Villa Figueroa,s/n,Desconocido,Carlos Hank González,9700,Desconocido,Iztapalapa,640
642,TIENDAS DE AUTOSERVICIO,Bodega Aurrera,Av. del Vergel,224,Desconocido,Presidentes de México,9740,Desconocido,Iztapalapa,642
643,TIENDAS DE AUTOSERVICIO,Bodega Aurrera,Guadalupe Victoria,115,Desconocido,Sta. Cruz Meyehualco,9700,Desconocido,Iztapalapa,643
644,TIENDAS DE AUTOSERVICIO,Bodega Aurrera,Calz Ermita Iztapalapa,2771,Desconocido,Sta Cruz Meyehualco,9700,Desconocido,Iztapalapa,644
645,CENTRO Y PLAZA COMERCIAL,Plaza Iztapalapa Center,Calz Ermita Iztapalapa,4050-C,Desconocido,Sta Martha Acatitla,9510,Desconocido,Iztapalapa,645
646,TIENDAS DEPARTAMENTALES,Coppel Santa Martha,Calz Ermita Iztapalapa,4050-C,Desconocido,Santa Martha Acatitla,9510,Desconocido,Iztapalapa,646
647,TIENDAS DE AUTOSERVICIO,Bodega Aurrera,Francisco I. Madero,L77,Desconocido,Mguel de la Madrid Huertado,9698,Desconocido,Iztapalapa,647
648,TIENDAS DE AUTOSERVICIO,Super ISSSTE,Ejercito de Chilpancingo Sur,s/n,Desconocido,Ermita Zaragoza,9180,Desconocido,Iztapalapa,648
649,TIENDAS DE AUTOSERVICIO,Bodega Aurrera,Calz Ingnacio Zaragoza,mz-131 LT-16,Desconocido,Sta Martha Acatitla Norte,9140,Desconocido,Iztapalapa,649
650,TIENDAS DE AUTOSERVICIO,Bodega Aurrera,José de la Luz Blanco,1535,Desconocido,Santa Martha Acatitla,9140,Desconocido,Iztapalapa,650
651,CENTRO Y PLAZA COMERCIAL,Plaza Guelatao,Ignacio Zaragoza,s/n,Desconocido,Juan Escutia,9100,Desconocido,Iztapalapa,651
652,CENTRO Y PLAZA COMERCIAL,Plaza Zaragoza,NULCalz Ignacio Zaragoza,1450,Desconocido,Juan Escutia,9100,Hay un Soriana,Iztapalapa,652
653,TIENDAS DE AUTOSERVICIO,Bodega Aurrera,Av México,14A,Desconocido,Paraje Zacatepec,9560,Desconocido,Iztapalapa,653
654,TIENDAS DE AUTOSERVICIO,Bodega Aurrera,Av José María Morelos y Pavón,27,Desconocido,Santa María Aztahuacan,9500,Desconocido,Iztapalapa,654
655,TIENDAS DE AUTOSERVICIO,Bodega Aurrera,Jalisco,15,Desconocido,Santa María Aztahuacan,9500,Desconocido,Iztapalapa,655
656,TIENDAS DE AUTOSERVICIO,Bodega Aurrera,16 de Septiembre,33,Desconocido,Santa Martha Acatitla,9510,Desconocido,Iztapalapa,656
657,TIENDAS DE AUTOSERVICIO,Chedraui,Manzanillo,14,Desconocido,San Sebastian Tecoloxtitla,9520,Desconocido,Iztapalapa,657
658,TIENDAS DE AUTOSERVICIO,Bodega Aurrera,Anillo Periferico Sec B,LT21 MZ17,Desconocido,Constitución de 1917,9260,Desconocido,Iztapalapa,658
659,CENTRO Y PLAZA COMERCIAL,Mercado  Constituyentes de 1917,Canal de San Juan,s/n,Desconocido,Constitución de 1917,9260,Desconocido,Iztapalapa,659
660,TIENDAS DE AUTOSERVICIO,Chedraui,Soto y Gama,21,Desconocido,Progresista,9240,Desconocido,Iztapalapa,660
661,TIENDAS DEPARTAMENTALES,Suburbia,Calz Ermita Iztapalapa secc sexta,LT306,Desconocido,Los Ángeles,9830,Desconocido,Iztapalapa,661
662,TIENDAS DE AUTOSERVICIO,Bodega Aurrera,Luis Hidalgo Monroy,573,Desconocido,San Miguel,9360,Desconocido,Iztapalapa,662
663,CENTRO Y PLAZA COMERCIAL,Mercado La Purisima,Av. Luis Hidalgo Monroy,s/n,Desconocido,San Miguel,9360,Desconocido,Iztapalapa,663
664,TIENDAS DEPARTAMENTALES,"SANBORNS HERMANOS, S.A DE C.V.",Av. de la República,145-B,Av. Juarez,Tabacalera Revolucion,6030,Actualmente lote comercial,Cuauhtémoc,664
665,TIENDAS DEPARTAMENTALES,"SANBORNS HERMANOS, S.A DE C.V.",Reforma,3,Esq. La Fragua,Tabacalera Revolucion,6030,Actualmente AT&T Reforma,Cuauhtémoc,665
666,TIENDAS DEPARTAMENTALES,"SUBURBIA, S.A. DE C.V.",Av. Sonora,180,Esq. Amsterdam,Hipódromo,6100,"Actualmente es un lote con HSBC, Starbucks, Optica",Cuauhtémoc,666
667,TIENDAS DEPARTAMENTALES,"SANBORNS HERMANOS, S.A DE C.V.",Insurgentes Sur,421,Esq. Aguascalientes,Hipódromo Condesa,6100,Actualmente Consejo Nacional de Fomento Educativo,Cuauhtémoc,667
668,TIENDAS DEPARTAMENTALES,"SANBORNS HERMANOS, S.A DE C.V.",Benjamin Hill,47,Carlos B. Zetina,Hipódromo Condesa,6170,Actualmente Universidad La Salle Unidad Condesa,Cuauhtémoc,668
669,TIENDAS DEPARTAMENTALES,"SANBORNS HERMANOS, S.A DE C.V.",Calz. de los Misterios,2,Esq. Manuel González,Ex-Hipodromo de Peralvillo,6250,Desconocido,Cuauhtémoc,669
670,TIENDAS DE AUTOSERVICIO,"ALMACENES AURRERA, S.A. DE C.V.",Insurgentes Norte,131,J m Meneses,Buenavista,6350,Actualmente Walmart,Cuauhtémoc,670
671,TIENDAS DEPARTAMENTALES,HERMANOS VAZQUEZ,Carlos J. Meneses,243,Esq. Aldama,Guerrero,6350,Desconocido,Cuauhtémoc,671
672,TIENDAS DEPARTAMENTALES,VIANA,Insurgentes Norte,3,Esq. Puente de Alvarado,Buenavista,6350,Edificio en reparación,Cuauhtémoc,672
673,TIENDAS DEPARTAMENTALES,"SUBURBIA, S.A. DE C.V.",Insurgentes Norte,151,Esq. Carlos J. Meneses,Buenavista,6350,Desconocido,Cuauhtémoc,673
674,TIENDAS DEPARTAMENTALES,"SANBORNS HERMANOS, S.A DE C.V.",Insurgentes Norte,70,Esq. Gomez Farias,San Rafael,6470,Desconocido,Cuauhtémoc,674
675,TIENDAS DE AUTOSERVICIO,"BODEGA COMERCIAL MEXICANA, S.A. DE C.V.",Nogal,212,Esq. Carpio,Sta. María La Ribera,6400,Actualmente es La Comer Sta María La Ribera,Cuauhtémoc,675
676,TIENDAS DEPARTAMENTALES,OPTIMA,Sn. Cosme,33,Esq. Sn. Maria La Ribiera,Sta. María La Ribera,6400,Desconocido,Cuauhtémoc,676
677,TIENDAS DE AUTOSERVICIO,"COMERCIALIZADORA EL SARDINERO,",Dr. Atl,243,Esq. Eligio Ancona,Sta. María la Ribera,6400,Actualmente es un edificio en donde se rentan ofic,Cuauhtémoc,677
678,CENTRO COMERCIAL,"LA LUNA UNIDAD COMERCIALIZADORA,S.A. DE C.V.",Ricardo Flores Magón,290,Eje 1 Pte. Guerrero,Buenavista,6400,Actualmente TIENDA DE AUTOSERVICIO Bodega Aurrera,Cuauhtémoc,678
679,TIENDAS DEPARTAMENTALES,K-2,Cipres,333,Eje 2 Nte.,Atlampa,6450,Actualmente es UTEP Empresa de transporte,Cuauhtémoc,679
680,TIENDAS DE AUTOSERVICIO,"BODEGA AURRERA,S.A. DE C.V.",Serapio Rendón,117,Entre Maestro  Antonio Caso y Sullivan,Sn. Rafael,6470,Desconocido,Cuauhtémoc,680
681,TIENDAS DE AUTOSERVICIO,ISSSTETIENDAS,Sadi Carnot,54,Esq. Antonio Caso,Sn. Rafael,6470,Actualmente es FSTSE,Cuauhtémoc,681
682,TIENDAS DEPARTAMENTALES,"SANBORNS HERMANOS, S.A DE C.V.",Antonio Caso,52,Esq. Rasa Moreno,Sn. Rafael,6470,Desconocido,Cuauhtémoc,682
683,TIENDAS DEPARTAMENTALES,"SANBORNS HERMANOS, S.A DE C.V.",Paseo de la Reforma,333,Paseo de la Reforma,Cuauhtémoc,6500,"Actualmente Santander, Citibanamex, Shake shack",Cuauhtémoc,683
684,TIENDAS DEPARTAMENTALES,"SANBORNS HERMANOS, S.A DE C.V.",Paseo de la Reforma,506,Esq. Lieja,Juárez,6600,Actualmente Torre BBVA,Cuauhtémoc,684
685,TIENDAS DE AUTOSERVICIO,ISSSTETIENDAS,Napoles,39,Esq. Londres,Juárez,6600,Actualmente es un edificio con servicio,Cuauhtémoc,685
686,TIENDAS DEPARTAMENTALES,"SANBORNS HERMANOS, S.A DE C.V.",Niza,S/N,Esq. Hamburgo,Juárez,6600,Actualmente Farmacias del Ahorro,Cuauhtémoc,686
687,TIENDAS DEPARTAMENTALES,SEARS,Insurgentes,214,Esq. Sn. Luis Potosi,Roma,6700,Desconocido,Cuauhtémoc,687
688,TIENDAS DEPARTAMENTALES,"EL PALACIO DE HIERRO, S.A. DE C.V.",Durango,230,Entre Salamanca y Valladolid,Roma Norte,6700,Desconocido,Cuauhtémoc,688
689,TIENDAS DEPARTAMENTALES,"SANBORNS HERMANOS, S.A DE C.V.",Salamanca,74,Entre Durango y Colima,Roma,6700,Es parte del Palacio de Hierro,Cuauhtémoc,689
690,TIENDAS DEPARTAMENTALES,"SANBORNS HERMANOS, S.A DE C.V.",Insurgentes Sur,239,Esq. Tabasco,Roma,6700,Desconocido,Cuauhtémoc,690
691,TIENDAS DEPARTAMENTALES,VIANA,Insurgentes Sur,264,Esq. Chihuahua,Roma,6700,Actualmente esta en construcción,Cuauhtémoc,691
692,TIENDAS DEPARTAMENTALES,"SANBORNS HERMANOS, S.A DE C.V.",Av. Cuauhtémoc,242,Esq. Dr. Pasteur,Doctores,6720,Actualmente edificio,Cuauhtémoc,692
693,TIENDAS DE AUTOSERVICIO,"BODEGA AURRERA,S.A. DE C.V.",Av. Cuauhtémoc,403,Bajio y Tehuantepec,Roma Sur,6760,Actualmente es una Unidad Habitacional,Cuauhtémoc,693
694,TIENDAS DE AUTOSERVICIO,"WOOLWORTH MEXICANA, S.A. DE C.V.",Av.Insurgentes Sur,376,Entre Coahuila y Campeche,Roma Sur,6760,Desconocido,Cuauhtémoc,694
695,TIENDAS DE AUTOSERVICIO,"BODEGA AURRERA,S.A. DE C.V.",Bolivar,190,Entre Chimalpopoca,Obrera,6800,Desconocido,Cuauhtémoc,695
696,TIENDAS DE AUTOSERVICIO,ISSSTETIENDAS,Dr. Pascua,Desconocido,Esq. Dr. Andrade,Doctores,6720,Actualmente parece baldio,Cuauhtémoc,696
697,CENTRO COMERCIAL,CENTRO COMERCIAL CHINA MÉXICO,Av. Fray Servando Teresa de Mier,380,Entre Calz. la Viga y Topacio,Esperanza,6840,Actualmente hay vivienda y comercio,Cuauhtémoc,697
698,TIENDAS DEPARTAMENTALES,VIANA,Canal del Norte,2,Esq. Aurora,Maza,6880,Es parte de TIENDA DE AUTOSERVICIO Mega Soriana,Cuauhtémoc,698
699,TIENDAS DE AUTOSERVICIO,TIENDA DEL SNT DE LA SHCP,Jupiter,5,Esq. Prol. Guerrero,Sn. Simon Tolnahuac,6920,Actualmente se percibe habitacional,Cuauhtémoc,699
700,TIENDAS DE AUTOSERVICIO,"COMERCIAL MEXICANA, S.A. DE C.V.",Chabacano,43,Entre José Sotero Castañeda y José Antonio Torres Xocongo,Ampl. Asturias,6890,Desconocido,Cuauhtémoc,700
701,TIENDAS DE AUTOSERVICIO,Centro Comercial de Autoservicio,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido,Sumesa,Cuauhtémoc,701
702,CENTRO COMERCIAL,Fórum Buenavista,Eje 1 Nte,259,Desconocido,Buenavista,6350,Desconocido,Cuauhtémoc,702
703,TIENDAS DE AUTOSERVICIO,Super ISSSTE,Dr. Andrade,72,Desconocido,Doctores,6720,Desconocido,Cuauhtémoc,703
704,CENTRO Y PLAZA COMERCIAL,Mercado San Cosme,Av. Ribera de San Cosme,s/n,Desconocido,San Rafael,6470,Desconocido,Cuauhtémoc,704
705,MIXTO,Reforma 222,Reforma,222,Desconocido,Juárez,6600,Desconocido,Cuauhtémoc,705
